,,,,,SECURED,SECURED,SALES,JV,EARNINGS,CONT,BLDG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUMBER/ID,NAME,PROFIT CENTER,PROFIT CENTER NAME,DATA TYPE,YEAR,MONTH,CLASS,FLAG,TYPE,TYPE2,TYPE3,Exclude,Months,Contract Class,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
130005,University of Georgia Foley Field Reno,300352,Atlanta SPD,Project,2014,2014.MAR,,N,P,CG,011,,36 ,7," $98,437 "," $67,074 "," $405,870 "," $910,290 "," $974,326 "," $1,074,531 "," $1,825,411 "," $1,782,311 "," $1,675,250 "," $905,365 "," $423,306 "," $350,607 "," $189,108 "," $70,645 "," $(13,404)"," $99,928 ", $(884)," $9,078 ", $(65)," $10,580 "," $6,606 "," $218,871 "," $4,314 "," $9,327 "," $12,851 ", $(59)," $3,255 ", $0 , $(28)," $5,596 ", $350 , $70 , $4 , $(600)," $1,525 "," $3,396 "," $24,540 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130015,Kaleida Health-Children's Hospital,300222,NY North,Project,2014,2014.AUG,,N,P,CG,008,,49 ,10," $135,000 "," $257,440 "," $1,136,813 "," $4,073,107 "," $6,452,226 "," $3,132,688 "," $2,971,398 "," $2,996,384 "," $4,838,313 "," $3,165,940 "," $3,271,877 "," $4,741,403 "," $5,038,478 "," $7,435,278 "," $7,600,053 "," $10,035,923 "," $7,985,507 "," $7,101,835 "," $7,818,369 "," $8,641,761 "," $7,780,286 "," $6,650,255 "," $5,434,363 "," $6,106,752 "," $5,725,386 "," $5,340,520 "," $5,430,830 "," $5,085,610 "," $5,458,467 "," $3,913,631 "," $3,677,865 "," $5,478,994 "," $4,499,987 "," $5,049,985 "," $3,156,756 "," $3,160,233 "," $2,371,695 "," $1,828,643 "," $1,405,100 "," $1,445,469 "," $1,118,809 "," $283,989 "," $106,500 "," $75,952 "," $124,498 "," $23,571 "," $29,174 "," $(52,608)"," $85,567 "," $10,747 "," $119,952 "," $(3,305)"," $(3,586)", $51 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130064,Kent State Science Center,300374,Cleveland Main,Project,2014,2014.MAY,,N,P,CG,005,,47 ,3," $5,897 "," $39,134 "," $21,142 "," $51,911 "," $657,040 "," $372,432 "," $493,093 "," $607,730 "," $32,601 "," $20,489 "," $31,020 "," $20,140 "," $(7,347)"," $333,688 "," $182,426 "," $6,773 "," $42,916 "," $5,030 "," $9,830 "," $152,992 "," $14,514 "," $92,862 "," $21,095 "," $21,815 "," $139,161 "," $(71,228)"," $72,533 "," $301,583 "," $65,176 "," $37,422 ", $285 , $(285)," $85,404 ", $219 , $76 , $(74)," $(23,411)", $2 , $(2)," $(132,265)"," $(116,110)"," $3,225 ", $914 , $(25), $237 , $0 , $489 , $(0), $139 , $(0), $31 ," $23,456 ", $(182), $1 , $(0)," $1,134 "," $23,901 "," $6,633 ",,,,,,,,,,,,,,,,,,,,,,,,,,
130986,Cleveland Clinic Weston - NICI,300357,Miami Main,Project,2014,2014.FEB,,N,P,M,008,,31 ,6," $1,409,507 "," $842,481 "," $601,988 "," $334,882 "," $420,546 "," $501,289 "," $588,535 "," $510,748 "," $375,346 "," $1,459,224 "," $475,989 "," $1,379,315 "," $(566,423)"," $194,394 "," $400,917 "," $200,486 "," $83,725 "," $160,740 "," $224,992 "," $99,833 "," $(407,693)"," $13,421 "," $28,147 "," $60,481 "," $9,504 "," $(9,763)"," $(5,468)", $127 ," $340,758 ", $(673), $9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131150,Cleveland Clinic Cancer Building,300374,Cleveland Main,Project,2014,2014.AUG,,N,P,M,008,,49 ,7," $1,813,965 "," $1,088,853 "," $190,948 "," $333,385 "," $237,136 "," $252,482 "," $272,574 "," $226,259 "," $344,943 "," $272,548 "," $245,006 "," $(119,040)"," $262,299 "," $604,947 "," $331,444 "," $419,790 "," $410,624 "," $341,300 "," $421,219 "," $508,838 "," $507,633 "," $428,539 "," $790,219 "," $571,777 "," $606,518 "," $524,785 "," $419,463 "," $512,244 "," $390,682 "," $414,563 "," $374,226 "," $218,176 "," $241,759 "," $205,307 "," $68,212 "," $5,557 "," $63,846 "," $(330,414)"," $14,853 "," $58,589 "," $1,241,446 "," $13,615 "," $(3,632)"," $3,429 "," $3,485 "," $4,345 "," $187,889 "," $(762,577)"," $7,225 "," $9,299 "," $7,856 "," $19,475 "," $10,461 "," $10,337 "," $9,601 "," $(2,380)"," $2,432 "," $1,130 ", $541 ," $17,065 "," $35,807 "," $35,814 "," $32,645 "," $63,882 "," $11,602 "," $2,027 ", $(338),,,,,,,,,,,,,,,,,
131223,Fairmont Creamery Renovation,300375,Cleveland SPD,Project,2014,2014.JAN,,N,P,CG,015,,32 ,7," $119,140 "," $329,857 "," $394,452 "," $792,173 "," $936,305 "," $325,878 "," $1,318,221 "," $1,099,195 "," $2,403,132 "," $357,572 "," $1,394,859 "," $665,757 "," $660,736 "," $104,268 "," $(412,523)"," $201,712 "," $15,585 ", $(1), $0 ," $583,347 "," $13,035 "," $(1,220)"," $13,670 "," $(29,356)"," $(18,902)", $(496)," $11,024 "," $(25,502)"," $(25,125)"," $34,669 "," $4,439 "," $(1,370)", $(675),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131268,Sacramento Entertainment & Sports Center,300453,Sacramento Main,Project,2014,2014.APR,,N,P,CGS,011,,49 ,10," $4,344 "," $139,742 "," $147,203 "," $1,306,907 "," $5,640,621 "," $6,597,243 "," $7,826,768 "," $11,823,810 "," $18,403,921 "," $13,887,520 "," $24,200,470 "," $18,358,232 "," $18,100,122 "," $18,704,422 "," $15,788,217 "," $19,490,598 "," $20,451,583 "," $23,301,334 "," $17,945,911 "," $16,571,353 "," $13,971,894 "," $14,803,893 "," $15,854,743 "," $12,900,021 "," $16,373,490 "," $11,189,583 "," $11,702,770 "," $13,619,011 "," $5,259,591 "," $8,856,275 "," $627,829 "," $587,787 "," $1,047,931 "," $1,583,163 "," $132,166 "," $152,149 "," $2,545,666 "," $22,762 "," $(483,947)"," $(46,296)"," $65,097 "," $20,884 "," $10,104 "," $138,009 "," $13,403 "," $29,562 "," $5,675 ", $988 ," $18,861 "," $10,727 "," $18,147 "," $1,018 "," $18,403 "," $260,162 "," $657,933 ", $387 , $296 ," $1,986 "," $3,087 ", $264 , $245 , $(205), $496 ," $17,708 "," $1,081,140 "," $(70,087)", $529 , $51 , $444 , $285 , $53 , $53 , $27 , $636 , $95 ,,,,,,,,,
131331,JetBlue Lodge and Training Facility,323123,MEP Orlando,Project,2014,2014.JAN,,N,M,CP,015,,10 ,1," $59,040 "," $130,890 "," $163,425 "," $201,092 "," $137,128 "," $1,820 "," $17,300 "," $4,180 "," $10,672 "," $1,517 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131358,Millard Fillmore - NICU,300222,NY North,Project,2014,2014.JUL,,N,P,CG,008,,22 ,5," $20,881 "," $71,814 "," $295,301 "," $741,391 "," $1,110,198 "," $468,266 "," $823,213 "," $923,879 "," $1,016,451 "," $645,590 "," $361,370 "," $395,183 "," $87,331 "," $250,125 "," $159,786 "," $52,580 "," $2,850 "," $1,157 ", $799 , $73 , $(1), $33 , $(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
